MMSI:367017010  Longitude:-74.0132  Latitude:40.6846  Altitude:0  045780F0C8200466AD31C29747A701CCFFEC01407D9217  02-Oct-2016 11:51:58
MMSI:366952890  Longitude:-74.0134  Latitude:40.7  Altitude:0  04577D06E80002DEAD318C9749E9B050060400000052D8  02-Oct-2016 11:52:03
MMSI:366952890  Longitude:-74.0134  Latitude:40.7001  Altitude:0  04577D06E80002CEAD31921749ED4050058E00000068F9  02-Oct-2016 11:52:09
MMSI:366952890  Longitude:-74.0134  Latitude:40.7001  Altitude:0  0C577D06E80002AEAD31949749EF40460514002F91F7BD  02-Oct-2016 11:52:13
MMSI:366702000  Longitude:-74.0017  Latitude:40.7035  Altitude:0  04576DB6C3E006B6AD3F47174A6C0A14FFA8094130A2D8  02-Oct-2016 11:52:22
MMSI:366952890  Longitude:-74.0134  Latitude:40.7003  Altitude:0  04577D06E800021EAD31981749F3B03C03A60140D56E7B  02-Oct-2016 11:52:22
MMSI:366952890  Longitude:-74.0134  Latitude:40.7003  Altitude:0  04577D06E800017EAD31991749F5503C03340000005B65  02-Oct-2016 11:52:27
MMSI:366952890  Longitude:-74.0134  Latitude:40.7003  Altitude:0  0C577D06E820410EAD31989749F6003C023E000DF172B8  02-Oct-2016 11:52:33
MMSI:366952890  Longitude:-74.0134  Latitude:40.7003  Altitude:0  04577D06E80000FEAD31989749F610320240000000510B  02-Oct-2016 11:52:34
MMSI:366952890  Longitude:-74.0134  Latitude:40.7003  Altitude:0  04577D06E82040BEAD31989749F67032014A0000006AFD  02-Oct-2016 11:52:39
MMSI:366952890  Longitude:-74.0134  Latitude:40.7003  Altitude:0  0C577D06E80000CEAD31989749F67032014C000EB0AECA  02-Oct-2016 11:52:39
MMSI:366990560  Longitude:-74.0036  Latitude:40.7025  Altitude:0  04577F53802007A6AD3D01974A46D3C5FFCC085ED08CA1  02-Oct-2016 11:52:39
